12,1,0,0,0,1,3,0,3,0,0,3,1,0,0,2,0,2,0,10,0,1,1,0,1,0,5,0,0,3,0,1,1,2,1,2,4,1,0,2,0,2,0,3,1,3,0,6,0,1,8,0,0,0,1,4,0,0,0,2,0,5,4,2,0,0,0,0,1,1,0,0,3,10,0,1,0,14,0,2,1,5,0,1,4,1,6,1,0,0,0,2,1,2,3,1,6,1,1,1,0,6,0,0,1,2,0,3,1,1,0,0,0,0,5,0,0,0,2,0,3,0,1,2,1,0,2,0,0,3,0,4,6,1,0,0,2,0,0,3,5,1,2,0,0,1,5,0,0,0,5,2,0,2,9,3,2,5,17,0,0,0,2,0,0,1,0,1,0,3,0,6,0,0,0,2,3,4,0,0,1,6,3,2,3,3,3,2,4,0,4,0,0,0,0,3,3,0,13,0,0,2,1,0,2,1,0,0,1,0,2,6,1,4,0,6,1,0,0,2,1,1,0,0,4,2,9,3,5,0,11,0,0,0,1,2,0,4,12,0,0,0,0,12,0,0,0,15,2,0,56,9,0,3,1,0
7,1,0,2,0,0,2,0,0,0,0,3,0,0,0,3,0,0,0,9,1,0,0,0,0,0,9,0,1,3,0,0,1,0,1,2,8,2,0,0,0,2,0,1,0,0,0,17,1,5,1,26,0,0,3,1,0,0,1,2,0,6,6,0,2,0,0,1,0,0,3,1,3,6,0,0,3,15,2,3,0,1,0,5,3,0,5,1,1,0,0,8,1,0,11,0,11,8,1,3,1,1,1,0,0,0,1,3,1,1,1,4,1,1,3,1,0,0,1,1,1,0,0,0,0,0,0,0,2,2,1,2,7,4,2,0,4,0,4,0,0,3,0,0,1,3,11,3,0,1,1,3,0,2,3,3,0,4,4,2,2,0,1,8,0,3,3,2,0,1,0,3,0,0,0,2,3,0,2,0,0,2,0,3,1,3,1,2,1,0,0,0,0,0,0,0,3,0,5,1,3,1,0,0,0,0,3,0,2,0,4,0,0,12,2,5,0,0,0,0,3,0,0,2,0,2,0,1,0,0,3,0,0,0,2,0,3,1,6,0,0,0,1,15,0,0,2,26,2,0,59,9,0,9,0,2
1,1,1,1,7,0,1,0,0,1,4,0,1,1,0,3,0,9,1,3,0,0,1,0,0,0,10,3,5,7,0,1,1,0,0,1,3,1,4,4,5,2,0,7,13,0,3,18,3,0,1,0,2,4,2,0,4,1,2,1,0,16,1,1,0,0,0,0,1,1,0,2,0,2,0,0,1,11,0,1,0,0,1,2,1,0,9,0,2,0,2,1,0,0,2,0,1,0,0,0,1,5,0,0,1,1,0,1,0,2,0,0,0,2,1,0,0,0,0,0,1,2,1,0,1,1,0,0,0,0,32,4,0,1,0,0,3,1,0,0,1,2,0,0,4,2,3,1,0,1,11,0,0,1,5,1,1,4,7,0,3,1,2,0,0,0,2,2,0,0,2,2,0,0,2,3,1,2,0,1,1,1,0,1,0,3,1,1,0,0,2,1,16,1,0,0,6,0,12,2,3,0,1,0,0,1,3,0,1,2,2,0,0,2,0,6,1,0,0,1,1,0,1,0,0,0,2,0,2,1,1,0,3,0,1,1,0,1,7,0,0,0,3,15,1,0,1,14,0,0,58,17,1,4,0,0
0,0,0,1,11,0,0,1,0,0,48,6,0,1,0,0,0,0,0,32,1,0,0,1,1,3,0,2,2,3,0,1,1,0,0,2,1,3,17,0,2,0,1,3,13,0,1,2,5,8,13,0,5,0,38,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,6,1,0,0,0,2,9,0,0,0,0,3,1,29,0,1,0,12,0,0,0,1,0,29,1,1,0,2,0,10,1,1,0,2,0,2,0,0,0,0,4,0,4,0,0,0,7,0,2,0,0,53,7,0,0,3,2,2,0,5,0,0,7,0,0,1,0,0,8,0,1,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,3,24,0,0,6,1,0,0,0,1,0,2,1,1,2,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,1,0,0,0,2
2,2,0,2,5,1,3,3,22,0,1,1,3,1,0,0,0,7,0,0,0,0,1,0,8,7,13,0,4,52,1,0,2,0,0,1,1,5,0,1,0,0,0,13,0,1,2,1,1,0,5,0,0,6,0,0,2,0,0,2,0,3,1,0,6,0,0,1,0,2,2,0,4,2,1,1,1,12,0,0,2,1,0,16,5,0,9,0,0,0,0,2,0,0,2,4,4,0,0,0,1,9,0,7,0,0,4,4,1,1,1,1,0,2,2,0,0,0,1,0,1,2,0,0,0,1,1,3,0,2,0,3,3,1,0,0,1,0,1,1,5,2,0,2,2,0,1,1,2,1,6,2,0,1,9,1,2,6,2,1,0,1,0,0,0,1,12,3,1,3,4,2,3,2,2,1,8,4,0,0,1,0,1,3,0,1,1,1,0,0,0,0,4,0,1,1,3,0,5,1,1,0,1,0,0,0,0,1,0,0,1,2,2,0,1,7,2,0,0,0,1,0,0,0,1,2,3,1,4,1,2,1,0,1,1,1,0,2,12,2,1,0,0,15,0,1,5,15,0,3,60,8,1,4,1,0
0,1,0,4,33,2,3,0,1,3,1,0,4,1,0,0,0,1,2,1,1,0,1,0,0,0,6,0,2,6,0,1,2,0,0,2,2,4,6,4,8,1,0,5,0,2,0,1,3,0,0,0,2,0,0,0,1,0,0,1,0,1,2,0,1,2,0,2,0,0,0,0,1,8,1,0,0,9,0,0,3,1,1,3,5,1,18,0,0,2,1,42,0,0,14,6,0,1,1,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,1,0,0,0,4,0,1,2,0,0,0,1,0,0,1,3,0,4,3,0,2,0,2,0,4,0,0,3,1,1,2,0,1,2,1,1,4,0,0,2,4,1,1,3,4,0,1,0,4,0,2,1,0,0,3,1,1,4,0,0,0,1,2,0,0,0,1,0,0,1,0,0,1,3,1,0,1,0,1,0,0,0,0,0,3,1,0,1,0,0,2,0,3,0,0,0,0,1,3,1,0,6,0,2,0,2,3,0,0,0,0,0,7,1,3,1,3,0,0,0,2,0,3,3,6,0,0,0,1,7,0,0,0,10,0,1,54,27,0,3,0,0
0,2,2,0,4,0,1,1,2,1,0,1,4,0,0,1,2,2,0,3,0,0,0,0,0,2,11,10,1,51,0,4,2,0,0,4,1,0,5,7,1,0,1,1,0,0,0,1,0,2,13,0,2,2,3,0,4,0,0,0,9,1,0,0,4,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,1,0,1,2,0,4,0,0,0,2,0,0,0,19,0,1,0,1,0,2,3,0,0,0,1,0,2,0,2,0,5,1,5,2,2,0,0,1,1,2,5,0,0,0,1,0,1,0,0,0,3,0,1,0,0,7,0,0,0,0,0,0,2,0,2,2,0,1,0,8,0,2,0,2,2,0,2,4,0,0,0,3,6,1,2,16,2,0,1,0,2,21,17,0,3,1,0,1,0,1,2,6,3,0,5,0,1,0,1,2,1,2,0,0,0,0,0,1,2,0,4,1,0,0,1,1,1,4,1,0,0,0,5,6,1,0,0,2,0,0,1,0,1,0,1,1,2,1,0,0,0,1,1,3,1,2,0,0,0,0,0,7,3,0,1,3,5,0,0,58,12,0,0,0,1
4,0,0,0,1,4,2,3,53,0,0,1,0,1,0,3,10,1,0,1,5,0,0,0,1,28,9,0,10,6,1,0,2,0,0,2,2,1,0,1,2,0,0,3,0,0,0,1,0,1,0,1,2,0,0,0,0,0,4,3,0,2,1,1,0,0,0,0,0,0,0,0,1,6,0,0,1,7,2,0,0,1,0,2,4,1,6,1,2,0,0,2,0,1,3,0,4,0,0,1,0,2,0,5,1,4,1,2,0,1,0,0,0,1,2,0,0,0,2,0,2,1,1,1,2,0,0,0,0,5,0,3,1,3,1,0,1,0,0,0,1,2,1,0,0,19,1,0,0,0,3,0,2,0,5,3,0,6,5,9,0,0,3,1,1,0,2,2,0,1,0,8,0,5,0,2,3,0,2,0,1,0,1,6,0,0,0,2,1,0,0,0,6,0,0,0,0,0,7,0,0,0,2,0,4,0,2,1,0,0,0,0,0,0,0,5,2,1,0,0,0,1,0,5,0,0,0,0,9,0,0,0,0,0,1,0,0,1,9,0,1,1,0,10,0,0,2,12,0,0,60,24,0,0,3,1
31,3,1,1,0,1,3,0,8,0,1,0,1,0,2,1,2,3,2,1,0,0,4,0,1,4,9,0,1,2,0,3,1,0,0,1,3,2,3,6,0,1,2,3,0,1,5,3,1,0,0,0,1,2,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,4,1,0,0,4,1,0,2,7,0,0,0,0,0,0,2,0,13,0,2,1,1,0,2,0,18,0,5,0,3,1,0,2,2,0,0,10,3,1,0,1,2,2,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,2,1,2,0,1,0,0,2,0,1,1,3,0,0,0,3,1,1,1,0,1,2,0,0,0,3,1,1,1,5,0,1,1,2,0,0,2,0,9,0,0,6,3,0,5,2,1,2,1,0,0,0,0,2,4,0,1,1,1,1,0,1,0,5,2,0,0,2,1,23,1,1,0,2,1,0,1,0,1,0,2,2,0,0,1,0,5,1,1,2,0,0,1,13,1,6,1,8,7,0,1,7,0,0,1,4,0,0,3,0,0,0,2,5,7,0,0,1,15,2,3,55,13,0,1,1,0
4,4,0,1,5,3,3,0,43,0,3,1,7,1,0,0,0,0,1,0,5,0,1,0,1,0,13,0,6,4,0,0,2,0,0,1,1,2,1,5,1,0,0,7,2,0,3,0,1,2,1,1,1,9,1,0,6,0,0,1,0,7,0,2,2,3,1,0,1,0,0,0,0,13,1,2,2,6,0,2,2,0,0,6,3,4,8,3,0,4,0,0,0,0,5,2,15,0,0,0,1,3,1,0,0,2,2,7,0,2,0,0,0,2,6,0,0,0,4,0,1,3,0,0,5,2,1,2,4,4,1,3,1,1,1,0,4,0,0,0,1,1,4,4,0,1,1,0,1,2,1,0,2,0,5,1,0,6,2,0,1,0,3,0,1,0,3,2,1,0,1,5,1,0,0,1,2,0,0,0,0,2,1,2,0,1,0,2,1,0,1,0,2,1,1,1,1,0,10,1,4,0,1,0,0,1,3,0,0,1,0,0,0,2,0,2,0,0,0,1,2,7,0,0,0,4,1,3,3,0,1,0,1,0,2,3,1,0,16,0,0,0,1,10,0,0,0,17,0,1,56,8,0,1,0,0
6,1,1,0,40,0,1,0,5,0,1,0,3,1,0,0,0,1,5,0,2,0,2,0,2,48,6,1,2,1,0,0,1,1,0,1,4,2,1,1,0,1,0,8,1,0,12,1,1,1,0,0,0,2,0,1,0,0,0,0,0,5,2,0,0,0,1,0,0,0,0,1,1,7,0,0,2,10,1,0,0,2,0,15,2,1,1,0,3,0,5,1,2,1,2,0,5,0,1,1,0,5,1,1,0,0,5,2,0,2,1,0,3,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,3,5,2,0,0,6,0,0,1,0,2,1,0,1,0,1,2,0,1,2,1,3,0,6,2,0,4,2,1,0,0,1,0,0,1,2,0,0,1,5,2,0,2,1,2,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,8,0,0,0,1,1,4,1,0,1,0,2,1,0,2,0,0,1,1,0,0,1,2,5,1,0,0,2,2,1,0,0,0,0,2,6,0,3,1,0,1,0,2,5,0,1,11,0,0,1,3,6,1,0,0,17,0,0,47,27,0,0,0,0
1,1,0,0,4,0,1,2,6,0,1,2,0,2,0,1,2,0,2,1,1,0,1,7,2,3,13,0,2,3,0,0,2,0,0,2,2,0,0,4,3,3,0,9,0,0,0,0,2,0,0,1,2,8,0,0,0,0,1,0,0,3,0,2,1,1,4,0,0,0,2,0,3,4,0,0,1,15,0,0,1,0,0,8,2,0,7,2,6,11,0,0,1,0,20,1,6,3,3,0,0,1,1,1,0,0,0,3,0,4,1,3,0,1,2,2,0,0,0,1,2,2,0,0,0,0,0,0,2,1,20,2,3,2,1,1,2,0,1,0,0,2,1,0,2,1,1,1,0,5,3,0,2,1,3,1,1,6,3,0,1,2,2,0,2,1,0,4,1,0,3,5,0,1,1,2,0,1,2,0,0,1,0,4,0,0,0,2,6,0,4,0,6,0,0,1,0,1,8,1,2,0,1,1,0,1,4,1,0,1,3,1,0,1,0,7,2,0,4,0,2,4,1,5,1,2,2,1,4,0,0,0,0,0,4,1,2,0,10,0,0,1,0,8,0,0,0,8,3,2,58,14,0,0,0,0
1,2,0,0,6,8,3,0,0,5,3,2,6,0,2,0,1,1,0,4,2,0,0,2,3,3,13,0,6,8,1,0,1,0,0,1,1,2,1,0,0,2,0,4,0,0,0,1,1,0,0,0,1,0,0,0,0,0,4,7,0,7,0,0,3,0,0,0,1,0,1,0,2,4,0,1,0,7,0,0,0,2,0,10,3,1,13,0,3,0,0,3,1,0,5,0,4,2,7,1,0,2,0,1,0,0,6,3,3,1,1,0,0,0,1,1,3,0,0,0,1,0,0,0,1,2,0,7,1,2,1,5,1,0,0,2,1,0,1,4,0,0,2,1,4,4,6,0,0,1,1,0,0,0,3,1,3,4,12,0,3,1,2,0,2,1,4,8,0,1,2,2,2,3,1,1,0,2,0,0,2,1,11,3,1,0,1,3,3,0,1,0,2,1,0,2,0,0,7,1,1,0,0,1,0,0,2,0,0,3,2,2,0,1,7,6,1,0,1,0,1,1,1,0,0,4,2,2,1,1,0,2,1,0,3,4,2,0,12,2,0,0,1,6,0,0,0,13,0,0,58,14,0,0,1,5
5,0,1,1,56,0,1,0,0,0,1,0,0,0,1,1,9,5,2,0,0,1,2,0,0,0,12,2,5,4,1,0,1,0,0,1,2,1,0,1,0,2,0,4,12,0,0,0,1,1,0,1,0,5,0,0,2,1,0,7,0,4,0,0,2,1,0,0,0,1,0,1,0,2,0,0,1,6,0,1,0,2,0,15,1,0,12,0,1,3,2,1,0,2,4,5,0,0,0,2,4,2,0,1,1,3,2,3,1,3,0,0,0,1,1,1,0,0,3,0,1,3,1,0,1,1,0,5,0,2,3,2,1,2,0,0,2,1,0,0,1,1,0,0,2,0,1,0,0,2,1,0,0,0,3,1,1,4,5,1,1,0,1,1,0,0,6,5,2,2,5,1,0,4,3,1,2,0,2,1,3,0,1,1,1,1,4,2,4,6,1,1,3,0,0,0,2,1,2,1,2,0,0,0,0,0,1,0,2,1,1,1,0,0,2,4,0,0,1,3,2,0,0,0,3,0,0,12,0,0,5,0,1,0,2,0,0,1,10,0,0,0,4,1,0,0,1,1,0,28,39,6,0,4,0,0
1,1,0,0,0,0,2,1,9,0,0,0,2,1,2,0,0,1,0,0,0,0,0,1,0,0,10,0,2,2,0,0,1,0,0,3,2,1,1,0,0,0,1,8,6,1,0,1,1,1,0,0,0,8,0,0,0,0,0,1,0,7,5,0,0,0,1,0,1,3,2,0,0,12,3,0,0,19,3,1,1,1,0,10,7,0,6,1,6,7,0,31,2,0,4,4,6,0,2,0,1,1,0,1,2,0,3,0,0,3,2,0,0,1,2,1,0,0,0,3,2,0,1,1,1,4,0,1,0,3,0,3,2,2,1,1,7,0,0,0,3,2,1,4,1,0,0,0,0,0,0,0,4,0,4,2,1,6,3,2,2,0,0,3,0,2,1,0,1,0,7,6,1,1,2,2,2,0,1,0,0,2,0,3,0,0,3,3,5,0,6,0,0,0,1,3,1,0,11,0,1,0,1,0,0,0,4,0,5,0,2,5,0,2,2,6,1,0,2,4,6,2,4,0,0,1,4,0,2,1,0,0,0,0,2,1,1,2,10,0,0,0,0,8,0,1,0,5,0,0,54,11,1,0,2,0
3,0,0,2,10,0,1,0,0,3,0,0,3,0,0,0,0,0,0,1,1,6,0,0,2,0,16,0,0,1,0,0,1,0,0,1,1,3,0,3,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,1,0,0,0,1,1,0,0,2,3,0,0,1,10,0,0,6,1,2,3,3,0,10,0,0,4,1,0,0,0,7,0,1,0,0,0,0,1,0,4,0,0,2,0,0,1,0,1,0,0,2,0,0,0,4,0,2,0,0,0,0,1,0,0,3,6,0,3,2,0,0,0,3,1,3,4,2,6,1,0,2,4,0,0,0,0,2,1,0,1,4,3,0,4,4,1,0,0,4,10,1,0,3,0,2,2,11,5,0,0,0,2,1,5,0,1,2,0,2,2,0,0,1,4,5,0,3,0,10,0,0,1,2,0,5,0,0,1,2,0,0,1,4,0,2,0,2,1,0,12,1,3,0,0,1,4,2,2,4,0,0,1,0,14,3,1,0,0,0,0,0,0,0,0,11,2,0,3,1,13,0,1,0,14,2,0,54,23,1,3,0,1
4,3,0,1,4,0,3,1,47,0,3,1,7,1,0,0,1,1,0,0,0,1,1,2,0,19,8,0,1,3,0,0,1,0,0,1,1,2,0,6,0,0,0,19,8,0,1,2,2,0,3,0,0,14,1,1,3,1,2,0,0,5,3,2,0,0,1,1,0,6,1,0,0,10,1,0,0,20,2,1,0,2,3,1,3,0,7,1,1,3,0,0,0,0,14,4,3,0,1,0,0,3,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,2,0,1,2,0,0,0,1,0,1,0,2,0,8,5,1,0,0,3,0,0,0,0,2,2,1,1,1,3,1,0,1,4,1,1,4,7,4,0,5,0,0,0,1,0,0,0,1,0,0,0,4,0,2,0,1,1,1,1,0,0,0,0,2,0,1,1,0,3,1,0,0,1,0,10,0,2,0,4,0,10,2,2,2,1,1,0,1,1,1,0,0,0,2,0,3,2,6,2,0,0,2,3,1,3,1,1,0,1,0,2,3,1,0,0,0,4,0,0,2,6,2,0,0,3,13,1,1,1,12,2,3,56,5,0,1,0,2
